antecedente,consequente,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"cafe, manteiga","acucar, pao",0.122,0.237,0.112,0.9180327868852459,3.873556062806945,0.08308600000000001,9.308600000000002,0.8449194598112594
"acucar, manteiga","cafe, pao",0.121,0.239,0.112,0.9256198347107438,3.872886337701857,0.083081,10.231222222222225,0.8439074435234845
"hortifruti, refrigerante","cerveja, pao",0.1,0.209,0.062,0.62,2.9665071770334928,0.0411,2.081578947368421,0.7365591397849461
"carne, manteiga","feijao, leite",0.088,0.322,0.084,0.9545454545454547,2.964426877470356,0.055664000000000005,14.916000000000048,0.7266081871345029
"feijao, manteiga","arroz, leite",0.181,0.325,0.174,0.9613259668508287,2.9579260518487036,0.11517499999999999,17.453571428571426,0.808211584073653
"arroz, leite","feijao, manteiga",0.325,0.181,0.174,0.5353846153846153,2.9579260518487036,0.11517499999999999,1.7627483443708607,0.9806300553426989
"feijao, leite","arroz, pao",0.322,0.329,0.313,0.9720496894409938,2.95455832656837,0.207062,24.00688888888889,0.9757226196198178
"arroz, pao","feijao, leite",0.329,0.322,0.313,0.9513677811550152,2.95455832656837,0.207062,13.941374999999997,0.9859015441165967
"arroz, leite","feijao, pao",0.325,0.326,0.313,0.963076923076923,2.9542236904200094,0.20705,18.254166666666652,0.9800023665838362
"feijao, pao","arroz, leite",0.326,0.325,0.313,0.9601226993865031,2.9542236904200094,0.20705,16.92692307692308,0.9814563760298064
"carne, manteiga","arroz, leite",0.088,0.325,0.084,0.9545454545454547,2.9370629370629375,0.055400000000000005,14.850000000000051,0.7231620718462823
"hortifruti, refrigerante","cerveja, leite",0.1,0.208,0.061,0.61,2.932692307692308,0.0402,2.0307692307692307,0.73224043715847
"carne, manteiga","feijao, pao",0.088,0.326,0.084,0.9545454545454547,2.9280535415504745,0.05531200000000001,14.828000000000047,0.7220133667502089
"arroz, cerveja, pao",refrigerante,0.101,0.21,0.062,0.6138613861386139,2.923149457802923,0.04079,2.045897435897436,0.7318167139115146
"feijao, manteiga","arroz, pao",0.181,0.329,0.174,0.9613259668508287,2.9219634250785065,0.114451,17.350142857142853,0.8031310962345445
"arroz, pao","feijao, manteiga",0.329,0.181,0.174,0.5288753799392096,2.9219634250785065,0.114451,1.7383935483870963,0.9802747657467838
"arroz, manteiga","feijao, leite",0.185,0.322,0.174,0.9405405405405405,2.920933355715964,0.11442999999999999,11.40272727272726,0.8069247584796558
"feijao, leite","arroz, manteiga",0.322,0.185,0.174,0.5403726708074533,2.920933355715964,0.11442999999999999,1.7731756756756751,0.9699759264910318
"frango, manteiga","feijao, leite",0.1,0.322,0.094,0.94,2.919254658385093,0.0618,11.299999999999988,0.7304964539007092
"doces, refrigerante",cerveja,0.064,0.338,0.063,0.984375,2.912352071005917,0.041368,42.367999999999995,0.7015330348663682
"arroz, cerveja, leite",refrigerante,0.1,0.21,0.061,0.61,2.9047619047619047,0.039999999999999994,2.0256410256410255,0.7285974499089253
"carne, manteiga","arroz, pao",0.088,0.329,0.084,0.9545454545454547,2.9013539651837528,0.05504800000000001,14.76200000000005,0.7185672514619883
"frango, leite","feijao, manteiga",0.179,0.181,0.094,0.5251396648044693,2.9013241149418194,0.061601,1.7247176470588235,0.798209241454376
"feijao, manteiga","frango, leite",0.181,0.179,0.094,0.5193370165745856,2.9013241149418194,0.061601,1.7080574712643677,0.8001584703712363
"carne, pao","feijao, leite",0.165,0.322,0.154,0.9333333333333332,2.8985507246376807,0.10086999999999999,10.169999999999984,0.7844311377245509
"frango, manteiga","arroz, leite",0.1,0.325,0.094,0.94,2.8923076923076922,0.0615,11.249999999999991,0.726950354609929
"cerveja, feijao, pao",refrigerante,0.099,0.21,0.06,0.606060606060606,2.8860028860028857,0.039209999999999995,2.005384615384615,0.7253052164261931
"arroz, manteiga","feijao, pao",0.185,0.326,0.174,0.9405405405405405,2.8850936826396945,0.11368999999999999,11.335454545454533,0.8017065087088358
"feijao, pao","arroz, manteiga",0.326,0.185,0.174,0.5337423312883435,2.8850936826396945,0.11368999999999999,1.7479605263157891,0.9694225587502985
"frango, manteiga","feijao, pao",0.1,0.326,0.094,0.94,2.8834355828220857,0.061399999999999996,11.233333333333322,0.7257683215130023
"carne, leite","feijao, pao",0.164,0.326,0.154,0.9390243902439024,2.8804429148585964,0.10053599999999999,11.053599999999989,0.7808985273100105
"frango, leite","feijao, pao",0.179,0.326,0.168,0.9385474860335197,2.878980018507729,0.10964600000000001,10.967818181818203,0.7949509889217563
"feijao, pao","frango, leite",0.326,0.179,0.168,0.5153374233128835,2.878980018507729,0.10964600000000001,1.6939620253164556,0.9683305072770949
"carne, pao","arroz, leite",0.165,0.325,0.154,0.9333333333333332,2.8717948717948714,0.10037499999999999,10.124999999999986,0.7805816937553465
"frango, leite","arroz, pao",0.179,0.329,0.169,0.9441340782122906,2.869708444414257,0.11010900000000001,12.010900000000014,0.7935840979034083
"arroz, pao","frango, leite",0.329,0.179,0.169,0.513677811550152,2.869708444414257,0.11010900000000001,1.68818125,0.9709873984779407
"cerveja, feijao, leite",refrigerante,0.098,0.21,0.059,0.6020408163265305,2.8668610301263358,0.038419999999999996,1.9851282051282046,0.7219361870043969
"frango, pao","feijao, leite",0.182,0.322,0.168,0.9230769230769231,2.866698518872432,0.10939600000000001,8.814000000000005,0.7960472697636511
"feijao, leite","frango, pao",0.322,0.182,0.168,0.5217391304347826,2.866698518872432,0.10939600000000001,1.7103636363636365,0.9604228121927239
doces,"cerveja, leite",0.131,0.208,0.078,0.5954198473282443,2.8625954198473282,0.050752,1.9575849056603774,0.7487533563482931
"frango, pao","arroz, leite",0.182,0.325,0.169,0.9285714285714286,2.857142857142857,0.10985,9.450000000000005,0.7946210268948654
"arroz, leite","frango, pao",0.325,0.182,0.169,0.52,2.857142857142857,0.10985,1.7041666666666668,0.9629629629629629
"frango, manteiga","arroz, pao",0.1,0.329,0.094,0.94,2.8571428571428568,0.061099999999999995,11.183333333333325,0.7222222222222221
"carne, leite","arroz, pao",0.164,0.329,0.154,0.9390243902439024,2.854177477944992,0.100044,11.004399999999992,0.7770769899956502
"feijao, manteiga","frango, pao",0.181,0.182,0.094,0.5193370165745856,2.853500091069152,0.061058,1.701816091954023,0.7931052399137506
"frango, pao","feijao, manteiga",0.182,0.181,0.094,0.5164835164835165,2.853500091069152,0.061058,1.6938409090909092,0.7940748062217136
doces,"cerveja, leite, pao",0.131,0.206,0.077,0.5877862595419847,2.853331356999926,0.050014,1.9261851851851852,0.7474481789786739
doces,"cerveja, pao",0.131,0.209,0.078,0.5954198473282443,2.848898791044231,0.050621,1.9551132075471698,0.7468206898586646
"arroz, manteiga","frango, leite",0.185,0.179,0.094,0.5081081081081081,2.8385927827268613,0.060885,1.669065934065934,0.7947395901318366
"frango, leite","arroz, manteiga",0.179,0.185,0.094,0.5251396648044693,2.838592782726861,0.060885,1.7162941176470587,0.7889315054292898
"arroz, cerveja, frango",refrigerante,0.099,0.21,0.059,0.5959595959595959,2.837902837902838,0.038209999999999994,1.95525,0.7187870351210518
"cerveja, feijao, frango",refrigerante,0.099,0.21,0.059,0.5959595959595959,2.837902837902838,0.038209999999999994,1.95525,0.7187870351210518
"carne, leite","feijao, manteiga",0.164,0.181,0.084,0.5121951219512195,2.829807303597898,0.054316,1.67895,0.7734677603098656
"frango, refrigerante",cerveja,0.063,0.338,0.06,0.9523809523809523,2.817695125387433,0.038706,13.901999999999983,0.6884738527214515
"arroz, frango, refrigerante",cerveja,0.062,0.338,0.059,0.9516129032258064,2.815422790608894,0.038043999999999994,13.681333333333313,0.6874344982111236
"feijao, frango, refrigerante",cerveja,0.062,0.338,0.059,0.9516129032258064,2.815422790608894,0.038043999999999994,13.681333333333313,0.6874344982111236
"cerveja, limpeza",refrigerante,0.088,0.21,0.052,0.5909090909090909,2.8138528138528143,0.033519999999999994,1.9311111111111114,0.7068151147098514
"carne, pao","feijao, manteiga",0.165,0.181,0.084,0.5090909090909091,2.8126569563033654,0.054135,1.6683333333333334,0.7718135158254918
"cerveja, feijao",refrigerante,0.166,0.21,0.098,0.5903614457831325,2.811244979919679,0.06314,1.928529411764706,0.7725248372730388
"arroz, cerveja",refrigerante,0.168,0.21,0.099,0.5892857142857143,2.806122448979592,0.06372,1.9234782608695653,0.7736013986013986
"arroz, cerveja, feijao",refrigerante,0.165,0.21,0.097,0.5878787878787879,2.7994227994227994,0.06235,1.9169117647058824,0.7698006049756159
"cerveja, leite, pao",refrigerante,0.206,0.21,0.121,0.587378640776699,2.7970411465557095,0.07774,1.9145882352941175,0.8091679330516061
refrigerante,"cerveja, leite, pao",0.21,0.206,0.121,0.5761904761904761,2.7970411465557095,0.07774,1.8734831460674155,0.8132649858771838
"frango, pao","arroz, manteiga",0.182,0.185,0.094,0.5164835164835165,2.7918027918027923,0.06033,1.6855681818181818,0.7846069812204131
"arroz, manteiga","frango, pao",0.185,0.182,0.094,0.5081081081081081,2.791802791802792,0.06033,1.6629670329670332,0.7874951050776662
"cerveja, pao",refrigerante,0.209,0.21,0.122,0.583732057416268,2.7796764638869904,0.07811,1.8978160919540232,0.809413276408779
refrigerante,"cerveja, pao",0.21,0.209,0.122,0.580952380952381,2.7796764638869904,0.07811,1.8876136363636367,0.810437850176385
"arroz, refrigerante","cerveja, pao",0.107,0.209,0.062,0.5794392523364486,2.772436614049993,0.039637000000000006,1.8808222222222222,0.7159086804175849
"acucar, cafe, cerveja",refrigerante,0.122,0.21,0.071,0.5819672131147541,2.771272443403591,0.04538,1.8898039215686275,0.7279668901793448
"cerveja, leite",refrigerante,0.208,0.21,0.121,0.5817307692307693,2.7701465201465205,0.07732,1.8887356321839084,0.8068286167459721
refrigerante,"cerveja, leite",0.21,0.208,0.121,0.5761904761904761,2.77014652014652,0.07732,1.86876404494382,0.8088712208389999
"carne, leite","arroz, manteiga",0.164,0.185,0.084,0.5121951219512195,2.768622280817403,0.05366,1.67075,0.7641262246525405
"feijao, refrigerante",cerveja,0.105,0.338,0.098,0.9333333333333335,2.7613412228796848,0.06251000000000001,9.930000000000017,0.7126895450917797
"arroz, feijao, refrigerante",cerveja,0.104,0.338,0.097,0.9326923076923077,2.7594446973145197,0.061848,9.835428571428572,0.7116163475699558
"carne, pao","arroz, manteiga",0.165,0.185,0.084,0.5090909090909091,2.7518427518427524,0.05347500000000001,1.6601851851851852,0.7624037639007699
"hortifruti, refrigerante",cerveja,0.1,0.338,0.093,0.9299999999999999,2.751479289940828,0.059199999999999996,9.457142857142848,0.7072879330943846
"arroz, refrigerante","cerveja, leite",0.107,0.208,0.061,0.5700934579439252,2.7408339324227176,0.038744,1.8422608695652172,0.711251445670332
"arroz, pao, refrigerante",cerveja,0.067,0.338,0.062,0.9253731343283581,2.73779033824958,0.039354,8.870799999999987,0.6803236178819624
"hortifruti, pao, refrigerante",cerveja,0.067,0.338,0.062,0.9253731343283581,2.73779033824958,0.039354,8.870799999999987,0.6803236178819624
"arroz, refrigerante",cerveja,0.107,0.338,0.099,0.9252336448598132,2.73737764751424,0.062834,8.854250000000011,0.710735575237255
"arroz, leite, refrigerante",cerveja,0.066,0.338,0.061,0.9242424242424242,2.7344450421373496,0.038692,8.738399999999993,0.6791167901147892
"hortifruti, leite, refrigerante",cerveja,0.066,0.338,0.061,0.9242424242424242,2.7344450421373496,0.038692,8.738399999999993,0.6791167901147892
"feijao, refrigerante","cerveja, pao",0.105,0.209,0.06,0.5714285714285714,2.734107997265892,0.038055,1.8456666666666666,0.708659217877095
"feijao, pao, refrigerante",cerveja,0.065,0.338,0.06,0.923076923076923,2.73099681383705,0.038029999999999994,8.605999999999993,0.6778966131907307
"feijao, leite, refrigerante",cerveja,0.064,0.338,0.059,0.9218749999999999,2.7274408284023663,0.037368,8.473599999999987,0.6766623207301173
"acucar, cerveja",refrigerante,0.131,0.21,0.075,0.5725190839694656,2.7262813522355507,0.04749,1.8480357142857142,0.7286536248561565
"cerveja, frango",refrigerante,0.105,0.21,0.06,0.5714285714285714,2.7210884353741496,0.03795,1.8433333333333333,0.7067039106145251
"cafe, cerveja",refrigerante,0.13,0.21,0.074,0.5692307692307692,2.7106227106227108,0.04669999999999999,1.8339285714285714,0.7253805529667599
"feijao, refrigerante","cerveja, leite",0.105,0.208,0.059,0.5619047619047619,2.7014652014652016,0.03716,1.807826086956522,0.7037212385190796
"cafe, limpeza","acucar, pao",0.105,0.237,0.067,0.6380952380952382,2.6923849708659837,0.04211500000000001,2.108289473684211,0.7023263570416076
refrigerante,cerveja,0.21,0.338,0.191,0.9095238095238096,2.6908988447449986,0.12002,7.316842105263165,0.795413877659222
cerveja,refrigerante,0.338,0.21,0.191,0.5650887573964497,2.6908988447449986,0.12002,1.8164625850340137,0.9492099144271682
"cerveja, manteiga, pao",refrigerante,0.11,0.21,0.062,0.5636363636363636,2.683982683982684,0.038900000000000004,1.8104166666666666,0.7049655672345053
"cerveja, hortifruti, pao",refrigerante,0.11,0.21,0.062,0.5636363636363636,2.683982683982684,0.038900000000000004,1.8104166666666666,0.7049655672345053
"cerveja, leite, manteiga",refrigerante,0.11,0.21,0.062,0.5636363636363636,2.683982683982684,0.038900000000000004,1.8104166666666666,0.7049655672345053
"pao, refrigerante",cerveja,0.135,0.338,0.122,0.9037037037037037,2.6736795967565197,0.07637,6.874615384615382,0.7236804700085283
"acucar, refrigerante",cerveja,0.083,0.338,0.075,0.9036144578313252,2.6734155557139796,0.046945999999999995,6.868249999999993,0.6826026899309341
"leite, refrigerante",cerveja,0.134,0.338,0.121,0.9029850746268656,2.671553475227413,0.075708,6.823692307692303,0.7225010974748536
"leite, pao, refrigerante",cerveja,0.134,0.338,0.121,0.9029850746268656,2.671553475227413,0.075708,6.823692307692303,0.7225010974748536
"cafe, refrigerante",cerveja,0.082,0.338,0.074,0.9024390243902438,2.66993794198297,0.04628399999999999,6.785499999999993,0.68132838721074
"acucar, limpeza","cafe, pao",0.105,0.239,0.067,0.6380952380952382,2.6698545526997415,0.041905000000000005,2.1027631578947372,0.6988243141832736
"cafe, limpeza","acucar, leite",0.105,0.236,0.066,0.6285714285714287,2.6634382566585963,0.04122000000000001,2.0569230769230775,0.6978161503301169
"acucar, cafe, refrigerante",cerveja,0.079,0.338,0.071,0.8987341772151898,2.658976855666242,0.04429799999999999,6.537249999999993,0.677432674221223
"limpeza, refrigerante",cerveja,0.058,0.338,0.052,0.8965517241379309,2.652519893899204,0.032395999999999994,6.399333333333327,0.6613588110403397
"acucar, limpeza","cafe, leite",0.105,0.238,0.066,0.6285714285714287,2.641056422569028,0.041010000000000005,2.051538461538462,0.6942610462163535
"cerveja, hortifruti, leite",refrigerante,0.111,0.21,0.061,0.5495495495495495,2.6169026169026166,0.03769,1.7537999999999998,0.6950155820686349
"cerveja, manteiga",refrigerante,0.113,0.21,0.062,0.5486725663716814,2.6127265065318164,0.03827,1.750392156862745,0.6958940975379132
"cerveja, doces",refrigerante,0.115,0.21,0.063,0.5478260869565217,2.608695652173913,0.038849999999999996,1.7471153846153844,0.6967984934086628
doces,cerveja,0.131,0.338,0.115,0.8778625954198473,2.5972266136681874,0.07072200000000001,5.4201250000000005,0.7076799919947966
"arroz, doces",cerveja,0.065,0.338,0.057,0.8769230769230769,2.594446973145198,0.03503,5.378749999999999,0.6572849235387934
"manteiga, refrigerante",cerveja,0.071,0.338,0.062,0.8732394366197184,2.583548629052421,0.038002,5.222444444444446,0.6597798534671343
"manteiga, pao, refrigerante",cerveja,0.071,0.338,0.062,0.8732394366197184,2.583548629052421,0.038002,5.222444444444446,0.6597798534671343
"leite, manteiga, refrigerante",cerveja,0.071,0.338,0.062,0.8732394366197184,2.583548629052421,0.038002,5.222444444444446,0.6597798534671343
"doces, feijao",cerveja,0.063,0.338,0.055,0.873015873015873,2.5828871982718136,0.033706,5.2132499999999995,0.6540409430484136
"arroz, doces, feijao",cerveja,0.063,0.338,0.055,0.873015873015873,2.5828871982718136,0.033706,5.2132499999999995,0.6540409430484136
"cafe, limpeza","acucar, feijao",0.105,0.201,0.054,0.5142857142857143,2.55863539445629,0.032895,1.645,0.6806331471135941
"acucar, limpeza","cafe, feijao",0.105,0.202,0.054,0.5142857142857143,2.545968882602546,0.03279,1.6429411764705886,0.6784605834885165
"doces, pao",cerveja,0.091,0.338,0.078,0.8571428571428572,2.53592561284869,0.047242,4.634000000000001,0.6662999633296662
"doces, leite",cerveja,0.091,0.338,0.078,0.8571428571428572,2.53592561284869,0.047242,4.634000000000001,0.6662999633296662
"doces, leite, pao",cerveja,0.09,0.338,0.077,0.8555555555555556,2.5312294543063776,0.046579999999999996,4.583076923076924,0.6647638076209503
"acucar, hortifruti","cafe, pao",0.179,0.239,0.108,0.6033519553072626,2.5244851686496346,0.065219,1.9185774647887326,0.7355415708034466
"cerveja, hortifruti",refrigerante,0.176,0.21,0.093,0.5284090909090909,2.5162337662337664,0.05604,1.6751807228915665,0.7312871907297213
"acucar, hortifruti","cafe, leite",0.179,0.238,0.107,0.5977653631284916,2.511619172808788,0.06439800000000001,1.8944166666666666,0.733069996698806
"doces, hortifruti",cerveja,0.071,0.338,0.06,0.8450704225352114,2.5002083506958916,0.036002,4.272909090909093,0.64589163975601
"acucar, feijao, limpeza",cafe,0.055,0.393,0.054,0.9818181818181818,2.498265093684941,0.032385,33.38499999999999,0.6346266901822457
"acucar, arroz, limpeza",cafe,0.054,0.393,0.053,0.9814814814814815,2.4974083498256525,0.031778,32.77800000000005,0.6338106825162552
"cafe, hortifruti","acucar, pao",0.183,0.237,0.108,0.5901639344262295,2.490143183233036,0.06462899999999999,1.86172,0.7324561403508771
"cafe, limpeza, pao",acucar,0.069,0.39,0.067,0.9710144927536232,2.489780750650316,0.04009,21.044999999999987,0.6427048431312823
"cafe, leite, limpeza",acucar,0.068,0.39,0.066,0.9705882352941176,2.48868778280543,0.03948,20.739999999999995,0.6418259851736247
"cafe, frango, pao",acucar,0.064,0.39,0.062,0.96875,2.483974358974359,0.03704,19.52,0.638268541494348
"cafe, frango, leite",acucar,0.064,0.39,0.062,0.96875,2.483974358974359,0.03704,19.52,0.638268541494348
"cafe, hortifruti","acucar, leite",0.183,0.236,0.107,0.5846994535519126,2.4775400574233584,0.06381200000000001,1.8396315789473683,0.7299557304476145
"cafe, limpeza","acucar, arroz",0.105,0.204,0.053,0.5047619047619047,2.4743230625583568,0.03158,1.6073076923076923,0.6657531358701381
"cafe, feijao, limpeza",acucar,0.056,0.39,0.054,0.9642857142857143,2.4725274725274726,0.032159999999999994,17.08000000000001,0.6308851224105461
"arroz, cafe, limpeza",acucar,0.055,0.39,0.053,0.9636363636363636,2.4708624708624707,0.031549999999999995,16.774999999999995,0.6299291204951581
"acucar, limpeza, pao",cafe,0.069,0.393,0.067,0.9710144927536232,2.4707747907216873,0.039883,20.941499999999987,0.6393863122625326
"cafe, refrigerante",acucar,0.082,0.39,0.079,0.9634146341463414,2.4702939337085676,0.04702,16.673333333333318,0.6483549819365158
"acucar, leite, limpeza",cafe,0.068,0.393,0.066,0.9705882352941176,2.469690166142793,0.039276,20.637999999999995,0.6385095591104175
"cafe, limpeza",acucar,0.105,0.39,0.101,0.961904761904762,2.4664224664224665,0.060050000000000006,16.012500000000056,0.6643066541291001
"acucar, limpeza","arroz, cafe",0.105,0.205,0.053,0.5047619047619047,2.4622531939605112,0.031475,1.6052884615384615,0.6635395804785497
"cafe, carne","acucar, leite",0.105,0.236,0.061,0.580952380952381,2.461662631154157,0.03622,1.8231818181818185,0.6634307170986354
"cafe, cerveja, pao",acucar,0.075,0.39,0.072,0.96,2.4615384615384612,0.042749999999999996,15.249999999999986,0.6418918918918919
"cafe, cerveja, leite",acucar,0.074,0.39,0.071,0.9594594594594594,2.46015246015246,0.04214,15.046666666666654,0.6409515407781462
"cafe, cerveja, refrigerante",acucar,0.074,0.39,0.071,0.9594594594594594,2.46015246015246,0.04214,15.046666666666654,0.6409515407781462
"cafe, feijao","acucar, leite",0.202,0.236,0.117,0.5792079207920792,2.454270850813895,0.069328,1.8156235294117646,0.7425401109611636
"cafe, carne","acucar, pao",0.105,0.237,0.061,0.580952380952381,2.451275868997388,0.036115,1.8207954545454548,0.6615074640534848
"acucar, limpeza",cafe,0.105,0.393,0.101,0.961904761904762,2.447594814007028,0.059735,15.933750000000057,0.6608219481165993
"acucar, feijao","cafe, leite",0.201,0.238,0.117,0.582089552238806,2.4457544211714537,0.069162,1.823357142857143,0.7398350502230352
"acucar, hortifruti",cafe,0.179,0.393,0.172,0.9608938547486033,2.4450225311669294,0.10165299999999998,15.521857142857137,0.7198609183355522
"cafe, feijao","acucar, pao",0.202,0.237,0.117,0.5792079207920792,2.44391527760371,0.069126,1.8132470588235292,0.7403765824818457
"cafe, cerveja, hortifruti",acucar,0.064,0.39,0.061,0.953125,2.4439102564102564,0.036039999999999996,13.013333333333334,0.6312175984307131
"acucar, carne","cafe, leite",0.105,0.238,0.061,0.580952380952381,2.440976390556223,0.03601,1.818409090909091,0.6595842110083341
"arroz, cafe","acucar, leite",0.205,0.236,0.118,0.5756097560975609,2.4390243902439024,0.06962,1.8002298850574712,0.7421383647798742
"acucar, leite","arroz, cafe",0.236,0.205,0.118,0.5,2.4390243902439024,0.06962,1.59,0.7722513089005236
"acucar, pao",cafe,0.237,0.393,0.227,0.9578059071729959,2.437165158201007,0.133859,14.385900000000024,0.772853505464749
cafe,"acucar, pao",0.393,0.237,0.227,0.5776081424936387,2.437165158201007,0.133859,1.8063795180722892,0.9714781296039597
cafe,"acucar, leite",0.393,0.236,0.226,0.5750636132315522,2.436710225557425,0.133252,1.7979161676646709,0.9713519266376056
